07/17/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,105.92,,105.92
07/17/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,61.63,,61.63
07/24/17,Bought,ISHARES TR S&P 500/ VALUE INDEX ETF,IVE,,YOU BOUGHT,105.79,126,,-13328.91,13328.91,
07/24/17,Cash,-Cash-,,[Schwab Bank Checking],TRANSFER FUNDS TO SCHWAB BANK - 440000942369,,,,-9000,,-9000
07/24/17,Cash,-Cash-,,[Schwab Intelligent Portfolio],JOURNAL TO 98327508,,,,-50000,,-50000
07/24/17,XIn,-Cash-,,[Schwab Investment],JOURNAL TO 98327508,,,,50000,,50000
07/25/17,Bought,Invesco Senior Loan ETF,BKLN,,POWERSHARES SENIOR LOAN ETF,23.26,109,,-2535.34,2535.34,
07/25/17,Bought,Vanguard Total International Bond Index ETF,BNDX,,VANGUARD TOTAL INTERNATLBND ETF IV,54.32,46,,-2498.72,2498.72,
07/25/17,Bought,SPDR S&P INTERNATIONAL  DIVIDEND ETF,DWX,,SPDR S&P INTERNATIONAL  DIVIDEND ETF,40.14,106,,-4254.84,4254.84,
07/25/17,Bought,VanEck Vectors EM Local Currency Bond ETF,EMLC,,VANECK VECTORS J P      MORGAN EMERGING MKTS LOCCURRENCY BD ETF,19.09,92,,-1756.22,1756.22,
07/25/17,Bought,GLOBAL X MLP ETF,MLPA,,GLOBAL X MLP ETF,11.04,89,,-982.56,982.56,
07/25/17,Bought,SPDR PREFERRED STOCK ETF,PSK,,SPDR WELLS FARGO        PREFERRED STOCK ETF,45.16,22,,-993.46,993.46,
07/25/17,Bought,SCH US DIV EQUITY ETF,SCHD,,SCHWAB US DIVIDEND      EQUITY ETF,45.56,166,,-7562.96,7562.96,
07/25/17,Bought,SCH US REIT ETF,SCHH,,CHARLES SCHWAB US REIT  ETF,41.31,13,,-537.03,537.03,
07/25/17,Bought,SCH US TIPS ETF,SCHP,,SCHWAB US TIPS ETF,55.05,74,,-4073.7,4073.7,
07/25/17,Bought,ISHARES HIGH YIELD CORPORATE BOND ETF,SHYG,,ISHARES HIGH YIELD      CORPORAT BOND ETF,47.96,63,,-3021.46,3021.46,
07/25/17,Bought,Vanguard Tax-Exempt Bond Index ETF,VTEB,,VANGUARD MUNI BND TAX   EXEMPT ETF,51.61,261,,-13470.21,13470.21,
07/25/17,Cash,-Cash-,,[FirstBank Checking],ELECTRONIC FUNDS TRANSFER PAID,,,,-7900,,-7900
07/28/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE US HIGH      DIVIDEND ETF,,,,554.4,,554.4
07/28/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE US LARGECAP  DIVIDEND ETF,,,,367.74,,367.74
07/28/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE US TOTAL     DIVIDEND ETF,,,,305.82,,305.82
07/31/17,Div,Invesco Senior Loan ETF,BKLN,_DivInc,POWERSHARES SENIOR LOAN ETF,,,,34.72,,34.72
07/31/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.37,,0.37
08/07/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG TERM BOND ETF,,,,907.39,,907.39
08/07/17,Div,Vanguard Total International Bond Index ETF,BNDX,_DivInc,VANGUARD TOTAL INTERNATLBND ETF IV,,,,13.3,,13.3
08/07/17,Div,VanEck Vectors EM Local Currency Bond ETF,EMLC,_DivInc,VANECK VECTORS J P      MORGAN EMERGING MKTS LOCCURRENCY BD ETF,,,,54.86,,54.86
08/07/17,Div,SCH US TIPS ETF,SCHP,_DivInc,SCHWAB US TIPS ETF,,,,36.84,,36.84
08/07/17,Div,ISHARES HIGH YIELD CORPORATE BOND ETF,SHYG,_DivInc,ISHARES HIGH YIELD      CORPORAT BOND ETF,,,,81.77,,81.77
08/07/17,Div,Vanguard Tax-Exempt Bond Index ETF,VTEB,_DivIncTaxFree,VANGUARD MUNI BND TAX   EXEMPT ETF,,,,132.72,,132.72
08/15/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,8.66,,8.66
08/15/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,35.48,,35.48
08/15/17,Cash,-Cash-,,Interest Earned,BANK INT 071617-081517,,,,4.82,,4.82
08/16/17,Div,GLOBAL X MLP ETF,MLPA,_DivInc,GLOBAL X MLP ETF,,,,108.58,,108.58
08/22/17,Sold,SCH US DIV EQUITY ETF,SCHD,,SCHWAB US DIVIDEND      EQUITY ETF,45.59,-3546,3.73,149922.97,-149922.97,
08/22/17,Sold,SCH US REIT ETF,SCHH,,CHARLES SCHWAB US REIT  ETF,40.89,-3768,3.56,146034.98,-146034.98,
08/22/17,Sold,SCH US REIT ETF,SCHH,,CHARLES SCHWAB US REIT  ETF,40.89,-100,0.09,3875.66,-3875.66,
08/22/17,Sold,SCHWAB VALUE ADVANTAGE,SWVXX,,SCHWAB VALUE ADVANTAGE  MONEY FUND,1,-50000,,50000,-50000,
08/23/17,Cash,-Cash-,,[Schwab Intelligent Portfolio],JOURNAL TO 98327508,,,,-50000,,-50000
08/23/17,XIn,-Cash-,,[Schwab Investment],JOURNAL TO 98327508,,,,50000,,50000
08/24/17,Bought,Invesco Senior Loan ETF,BKLN,,POWERSHARES SENIOR LOAN ETF,23.11,115,,-2657.65,2657.65,
08/24/17,Bought,Vanguard Total International Bond Index ETF,BNDX,,VANGUARD TOTAL INTERNATLBND ETF IV,54.78,44,,-2410.32,2410.32,
08/24/17,Bought,SPDR S&P INTERNATIONAL  DIVIDEND ETF,DWX,,SPDR S&P INTERNATIONAL  DIVIDEND ETF,40.49,120,,-4858.8,4858.8,
08/24/17,Bought,VanEck Vectors EM Local Currency Bond ETF,EMLC,,VANECK VECTORS J P      MORGAN EMERGING MKTS LOCCURRENCY BD ETF,19.23,102,,-1961.46,1961.46,
08/24/17,Bought,GLOBAL X MLP ETF,MLPA,,GLOBAL X MLP ETF,9.97,166,,-1655.02,1655.02,
08/24/17,Bought,SPDR PREFERRED STOCK ETF,PSK,,SPDR WELLS FARGO        PREFERRED STOCK ETF,45.08,23,,-1036.77,1036.77,
08/24/17,Bought,SCH US DIV EQUITY ETF,SCHD,,SCHWAB US DIVIDEND      EQUITY ETF,45.57,165,,-7519.05,7519.05,
08/24/17,Bought,SCH US REIT ETF,SCHH,,CHARLES SCHWAB US REIT  ETF,41.31,12,,-495.72,495.72,
08/24/17,Bought,SCH US TIPS ETF,SCHP,,SCHWAB US TIPS ETF,55.44,70,,-3880.8,3880.8,
08/24/17,Bought,ISHARES HIGH YIELD CORPORATE BOND ETF,SHYG,,ISHARES HIGH YIELD      CORPORAT BOND ETF,47.58,66,,-3140.28,3140.28,
08/24/17,Bought,Vanguard Tax-Exempt Bond Index ETF,VTEB,,VANGUARD MUNI BND TAX   EXEMPT ETF,51.87,256,,-13278.72,13278.72,
08/25/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE US HIGH      DIVIDEND ETF,,,,539,,539
08/25/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE US LARGECAP  DIVIDEND ETF,,,,347.31,,347.31
08/25/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE US TOTAL     DIVIDEND ETF,,,,297.33,,297.33
08/29/17,XOut,-Cash-,,[Schwab Bank Checking],Funds Transfer from Brokerage -3688,,,,-24000,,-24000
08/29/17,XOut,-Cash-,,[Schwab Intelligent Portfolio],JOURNAL TO 98327508,,,,-300000,,-300000
08/29/17,XIn,-Cash-,,[Schwab Investment],JOURNAL TO 98327508,,,,300000,,300000
08/30/17,Bought,Invesco Senior Loan ETF,BKLN,,POWERSHARES SENIOR LOAN ETF,23.15,647,,-14978.05,14978.05,
08/30/17,Bought,Vanguard Total International Bond Index ETF,BNDX,,VANGUARD TOTAL INTERNATLBND ETF IV,54.81,274,,-15017.94,15017.94,
08/30/17,Bought,SPDR S&P INTERNATIONAL  DIVIDEND ETF,DWX,,SPDR S&P INTERNATIONAL  DIVIDEND ETF,40.47,746,,-30190.62,30190.62,
08/30/17,Bought,VanEck Vectors EM Local Currency Bond ETF,EMLC,,VANECK VECTORS J P      MORGAN EMERGING MKTS LOCCURRENCY BD ETF,19.38,615,,-11918.7,11918.7,
08/30/17,Bought,GLOBAL X MLP ETF,MLPA,,GLOBAL X MLP ETF,9.95,607,,-6039.65,6039.65,
08/30/17,Bought,SPDR PREFERRED STOCK ETF,PSK,,SPDR WELLS FARGO        PREFERRED STOCK ETF,45.13,133,,-6002.42,6002.42,
08/30/17,Bought,SCH US DIV EQUITY ETF,SCHD,,SCHWAB US DIVIDEND      EQUITY ETF,45.63,986,,-44991.18,44991.18,
08/30/17,Bought,SCH US REIT ETF,SCHH,,CHARLES SCHWAB US REIT  ETF,40.89,75,,-3066.7,3066.7,
08/30/17,Bought,SCH US TIPS ETF,SCHP,,SCHWAB US TIPS ETF,55.58,432,,-24010.56,24010.56,
